Entity,Code,Level,Deaths
Romania,ROU,14.61134019,40.41600613
Russia,RUS,16.16022381,42.73102728
Rwanda,RWA,43.21021716,97.08200324
Saudi Arabia,SAU,87.94544668,64.07581883
Sudan,SDN,55.37083444,95.70386242
Senegal,SEN,40.6958259,106.0552118
Singapore,SGP,19.0782565,19.98012765
Solomon Islands,SLB,11.87912184,187.2542829
Sierra Leone,SLE,21.62594668,149.5983372
El Salvador,SLV,24.47229229,45.89819872
Somalia,SOM,32.03458423,165.8285822
Serbia,SRB,24.72635819,62.57853348
South Sudan,SSD,45.57750557,156.1654699
Sao Tome and Principe,STP,28.53958436,110.0812449
Suriname,SUR,24.78001054,48.71442865
Slovakia,SVK,17.56291134,35.36190177
Slovenia,SVN,16.02397998,19.72328919
Sweden,SWE,6.18466509,9.39530308
Swaziland,SWZ,17.16878731,106.341769
Seychelles,SYC,20.17864936,42.32630252
Syria,SYR,43.75725947,64.22641351
Chad,TCD,66.0292055,159.147411
Togo,TGO,35.73133561,115.2294338
Thailand,THA,26.25672656,32.81342263
Tajikistan,TJK,46.15218537,94.29643743
Turkmenistan,TKM,21.76772098,67.29758186
Timor,TLS,19.25720917,97.66245516
Tonga,TON,10.78547886,70.72940437
Trinidad and Tobago,TTO,24.10856843,51.80870491
Tunisia,TUN,37.65599375,51.6134135
Turkey,TUR,44.31152568,46.77557879
Tanzania,TZA,29.07664051,96.53732288
Uganda,UGA,50.49432132,93.71754319
Ukraine,UKR,20.30977582,63.88562435
Uruguay,URY,9.27488332,20.4019747
United States,USA,7.409441662,18.82514567
Uzbekistan,UZB,28.4559012,105.0869242
Saint Vincent and the Grenadines,VCT,22.20051632,48.67290216
Venezuela,VEN,17.00855357,34.74692209
United States Virgin Islands,VIR,10.26531228,29.74854604
Vietnam,VNM,29.62672834,60.3175333
Vanuatu,VUT,11.65277703,139.6507287
Samoa,WSM,11.54802701,76.83415608
Yemen,YEM,50.45600689,96.50135105
South Africa,ZAF,25.10220499,57.85389002
Zambia,ZMB,27.43803476,98.86996278
Zimbabwe,ZWE,22.25167109,125.0288426
