Entity,Code,Year,Annual CO2 emissions (per capita)
Cambodia,KHM,2020,0.9167
Eswatini,SWZ,2020,0.8238
Nicaragua,NIC,2020,0.7659
Papua New Guinea,PNG,2020,0.7435
Mauritania,MRT,2020,0.7263
Zimbabwe,ZWE,2020,0.7086
Angola,AGO,2020,0.6754
Myanmar,MMR,2020,0.6676
Tuvalu,TUV,2020,0.6415
Senegal,SEN,2020,0.6242
Nigeria,NGA,2020,0.6086
Vanuatu,VUT,2020,0.591
Nepal,NPL,2020,0.582
Kiribati,KIR,2020,0.5699
Palestine,PSE,2020,0.5682
Congo,COG,2020,0.5648
Bangladesh,BGD,2020,0.5637
Benin,BEN,2020,0.5529
Ghana,GHA,2020,0.515
Sao Tome and Principe,STP,2020,0.5144
Solomon Islands,SLB,2020,0.435
Sudan,SDN,2020,0.4301
Timor,TLS,2020,0.3987
Cote d'Ivoire,CIV,2020,0.3818
Zambia,ZMB,2020,0.3575
Djibouti,DJI,2020,0.3557
Yemen,YEM,2020,0.3275
Afghanistan,AFG,2020,0.3124
Kenya,KEN,2020,0.3003
Comoros,COM,2020,0.2972
Togo,TGO,2020,0.2647
Cameroon,CMR,2020,0.2595
Guinea,GIN,2020,0.2584
Haiti,HTI,2020,0.256
Low-income countries,,2020,0.2358
Mozambique,MOZ,2020,0.2102
Gambia,GMB,2020,0.2069
Eritrea,ERI,2020,0.2037
Liberia,LBR,2020,0.1995
Burkina Faso,BFA,2020,0.1899
Tanzania,TZA,2020,0.1831
Mali,MLI,2020,0.1674
Guinea-Bissau,GNB,2020,0.1457
Madagascar,MDG,2020,0.1329
Ethiopia,ETH,2020,0.1276
Sierra Leone,SLE,2020,0.11
Uganda,UGA,2020,0.107
South Sudan,SSD,2020,0.1053
Rwanda,RWA,2020,0.0797
Malawi,MWI,2020,0.0729
Niger,NER,2020,0.0698
Chad,TCD,2020,0.0555
Burundi,BDI,2020,0.0506
Central African Republic,CAF,2020,0.0389
Somalia,SOM,2020,0.0354
Democratic Republic of Congo,COD,2020,0.0277
