,Iceberg,Length,Width,Latitude,Longitude,Remarks,Last_update,Area,Year
836,D15A,51.0,24.0,-66.65,81.92,amere (grounded),12/27/2019,1224.0,2019.0
837,D15B,33.0,12.0,-66.99,81.58,amere (grounded),12/27/2019,396.0,2019.0
838,D20A,20.0,9.0,-68.76,36.31,amerw,12/27/2019,180.0,2019.0
839,D21B,11.0,4.0,-76.12,-39.04,belle,12/27/2019,44.0,2019.0
840,D23,8.0,6.0,-69.43,74.67,amere (grounded),12/27/2019,48.0,2019.0
841,D26,19.0,2.0,-69.36,29.4,wedde (grounded),12/27/2019,38.0,2019.0
842,D27,8.0,5.0,-67.27,81.87,amere (grounded),12/27/2019,40.0,2019.0
843,D28,29.0,19.0,-68.11,71.04,amere (grounded),12/27/2019,551.0,2019.0
844,A23A,44.0,40.0,-75.71,-41.34,belle,11/13/2020,1760.0,2020.0
845,A63,11.0,3.0,-72.32,-47.21,belle,11/13/2020,33.0,2020.0
846,A64,16.0,11.0,-69.73,-60.99,belle (grounded),11/13/2020,176.0,2020.0
847,A68A,82.0,26.0,-56.27,-41.88,belle,11/13/2020,2132.0,2020.0
848,A68C,9.0,5.0,-52.5,-29.95,belle,11/13/2020,45.0,2020.0
849,A69A,10.0,9.0,-68.72,-59.22,belle,11/13/2020,90.0,2020.0
850,A69B,10.0,7.0,-68.57,-60.3,belle,11/13/2020,70.0,2020.0
851,B09B,27.0,9.0,-66.22,143.14,wilke,11/13/2020,243.0,2020.0
852,B09G,12.0,7.0,-67.96,41.69,amerw (grounded),11/13/2020,84.0,2020.0
853,B09I,12.0,6.0,-70.95,-37.23,belle,11/13/2020,72.0,2020.0
854,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),11/13/2020,44.0,2020.0
855,B22A,44.0,24.0,-73.95,-109.35,amune (grounded),11/13/2020,1056.0,2020.0
856,B28,10.0,7.0,-74.68,-108.78,amune (grounded),11/13/2020,70.0,2020.0
857,B29,11.0,5.0,-74.52,-108.91,amune (grounded),11/13/2020,55.0,2020.0
858,B37,8.0,3.0,-72.73,-111.04,amune,11/13/2020,24.0,2020.0
859,B38,6.0,4.0,-77.0,-155.02,rosse,11/13/2020,24.0,2020.0
860,B39,8.0,4.0,-65.69,56.03,amerw,11/13/2020,32.0,2020.0
861,B40,8.0,5.0,-65.65,132.16,wilke (grounded),11/13/2020,40.0,2020.0
862,B42,13.0,4.0,-72.92,-126.6,amunw (grounded),11/13/2020,52.0,2020.0
863,B45,8.0,6.0,-74.69,-109.34,amune (grounded),11/13/2020,48.0,2020.0
864,B46,10.0,4.0,-73.47,-107.43,amune,11/13/2020,40.0,2020.0
865,B47,19.0,5.0,-73.8,-133.84,amunw (grounded),11/13/2020,95.0,2020.0
866,B50,15.0,6.0,-73.75,-133.12,amunw,11/13/2020,90.0,2020.0
867,C15,14.0,10.0,-65.99,143.3,wilke (grounded),11/13/2020,140.0,2020.0
868,C18B,20.0,4.0,-64.79,100.35,wilkw,11/13/2020,80.0,2020.0
869,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),11/13/2020,96.0,2020.0
870,C24,11.0,3.0,-64.84,96.02,wilkw (grounded),11/13/2020,33.0,2020.0
871,C29,5.0,5.0,-66.09,142.86,wilke (grounded),11/13/2020,25.0,2020.0
872,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),11/13/2020,27.0,2020.0
873,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),11/13/2020,27.0,2020.0
874,C33,8.0,4.0,-65.38,129.64,wilke,11/13/2020,32.0,2020.0
875,C35,7.0,5.0,-68.23,148.15,wilke (grounded),11/13/2020,35.0,2020.0
876,C36,23.0,16.0,-68.1,147.85,wilke (grounded),11/13/2020,368.0,2020.0
877,D15A,51.0,24.0,-66.64,81.91,amere (grounded),11/13/2020,1224.0,2020.0
878,D15B,33.0,12.0,-66.99,81.57,amere (grounded),11/13/2020,396.0,2020.0
879,D20A,20.0,9.0,-68.66,36.26,amerw (grounded),11/13/2020,180.0,2020.0
880,D21B,11.0,4.0,-63.53,-39.93,belle,11/13/2020,44.0,2020.0
881,D23,8.0,6.0,-69.43,74.67,amere (grounded),11/13/2020,48.0,2020.0
882,D26,19.0,2.0,-69.4,29.33,wedde (grounded),11/13/2020,38.0,2020.0
883,D27,8.0,5.0,-67.63,79.02,amere,11/13/2020,40.0,2020.0
884,D28,29.0,19.0,-65.48,55.4,amerw,11/13/2020,551.0,2020.0
885,A23A,44.0,40.0,-75.79,-41.55,belle,11/20/2020,1760.0,2020.0
886,A63,11.0,3.0,-72.34,-48.19,belle,11/20/2020,33.0,2020.0
887,A64,16.0,11.0,-69.73,-60.99,belle (grounded),11/20/2020,176.0,2020.0
888,A68A,82.0,26.0,-56.23,-41.22,belle,11/20/2020,2132.0,2020.0
889,A68C,9.0,5.0,-51.8,-28.86,weddw,11/20/2020,45.0,2020.0
890,A69A,10.0,9.0,-68.65,-59.6,belle,11/20/2020,90.0,2020.0
891,A69B,10.0,7.0,-68.56,-60.66,belle,11/20/2020,70.0,2020.0
892,B09B,27.0,9.0,-66.22,143.14,wilke,11/20/2020,243.0,2020.0
893,B09G,12.0,7.0,-67.96,41.69,amerw (grounded),11/20/2020,84.0,2020.0
894,B09I,12.0,6.0,-70.93,-37.72,belle,11/20/2020,72.0,2020.0
895,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),11/20/2020,44.0,2020.0
896,B22A,44.0,24.0,-73.95,-109.35,amune (grounded),11/20/2020,1056.0,2020.0
897,B28,10.0,7.0,-74.68,-108.78,amune (grounded),11/20/2020,70.0,2020.0
898,B29,11.0,5.0,-74.52,-108.91,amune (grounded),11/20/2020,55.0,2020.0
899,B37,8.0,3.0,-72.71,-111.27,amune,11/20/2020,24.0,2020.0
900,B38,6.0,4.0,-77.0,-155.02,rosse,11/20/2020,24.0,2020.0
901,B39,8.0,4.0,-65.69,56.03,amerw,11/20/2020,32.0,2020.0
902,B40,8.0,5.0,-65.65,132.16,wilke (grounded),11/20/2020,40.0,2020.0
903,B42,13.0,4.0,-72.95,-126.58,amunw (grounded),11/20/2020,52.0,2020.0
904,B45,8.0,6.0,-74.69,-109.34,amune (grounded),11/20/2020,48.0,2020.0
905,B46,10.0,4.0,-73.28,-107.7,amune,11/20/2020,40.0,2020.0
906,B47,19.0,5.0,-73.79,-133.83,amunw (grounded),11/20/2020,95.0,2020.0
907,B50,15.0,6.0,-73.74,-133.21,amunw,11/20/2020,90.0,2020.0
908,C15,14.0,10.0,-65.99,143.3,wilke (grounded),11/20/2020,140.0,2020.0
909,C18B,20.0,4.0,-64.96,100.03,wilkw,11/20/2020,80.0,2020.0
910,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),11/20/2020,96.0,2020.0
911,C24,11.0,3.0,-64.84,96.02,wilkw (grounded),11/20/2020,33.0,2020.0
912,C29,5.0,5.0,-66.09,142.86,wilke (grounded),11/20/2020,25.0,2020.0
913,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),11/20/2020,27.0,2020.0
914,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),11/20/2020,27.0,2020.0
915,C33,8.0,4.0,-65.38,129.64,wilke,11/20/2020,32.0,2020.0
916,C35,7.0,5.0,-68.23,148.15,wilke (grounded),11/20/2020,35.0,2020.0
917,C36,23.0,16.0,-68.1,147.85,wilke (grounded),11/20/2020,368.0,2020.0
918,D15A,51.0,24.0,-66.65,81.92,amere (grounded),11/20/2020,1224.0,2020.0
919,D15B,33.0,12.0,-66.99,81.57,amere (grounded),11/20/2020,396.0,2020.0
920,D20A,20.0,9.0,-68.66,36.26,amerw (grounded),11/20/2020,180.0,2020.0
921,D21B,11.0,4.0,-63.25,-38.93,belle,11/20/2020,44.0,2020.0
922,D23,8.0,6.0,-69.43,74.67,amere (grounded),11/20/2020,48.0,2020.0
923,D26,19.0,2.0,-69.36,29.4,wedde (grounded),11/20/2020,38.0,2020.0
924,D27,8.0,5.0,-67.62,79.04,amere,11/20/2020,40.0,2020.0
925,D28,29.0,19.0,-65.43,55.2,amerw,11/20/2020,551.0,2020.0
926,A23A,44.0,40.0,-75.8,-41.73,belle,11/27/2020,1760.0,2020.0
927,A63,11.0,3.0,-72.22,-48.6,belle,11/27/2020,33.0,2020.0
928,A64,16.0,11.0,-69.73,-60.99,belle (grounded),11/27/2020,176.0,2020.0
929,A68A,82.0,26.0,-56.23,-41.22,belle,11/27/2020,2132.0,2020.0
930,A68C,9.0,5.0,-51.8,-28.86,belle,11/27/2020,45.0,2020.0
931,A69A,10.0,9.0,-68.55,-59.92,belle,11/27/2020,90.0,2020.0
932,A69B,10.0,7.0,-68.53,-60.8,belle,11/27/2020,70.0,2020.0
933,B09B,27.0,9.0,-66.22,143.14,wilke,11/27/2020,243.0,2020.0
934,B09G,12.0,7.0,-67.96,41.7,amerw (grounded),11/27/2020,84.0,2020.0
935,B09I,12.0,6.0,-70.92,-38.01,belle,11/27/2020,72.0,2020.0
936,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),11/27/2020,44.0,2020.0
937,B22A,44.0,24.0,-73.95,-109.35,amune (grounded),11/27/2020,1056.0,2020.0
938,B28,10.0,7.0,-74.67,-108.77,amune (grounded),11/27/2020,70.0,2020.0
939,B29,11.0,5.0,-74.5,-108.92,amune (grounded),11/27/2020,55.0,2020.0
940,B37,8.0,3.0,-72.7,-111.41,amune,11/27/2020,24.0,2020.0
941,B38,6.0,4.0,-77.0,-155.02,rosse,11/27/2020,24.0,2020.0
942,B39,8.0,4.0,-65.66,55.56,amerw,11/27/2020,32.0,2020.0
943,B40,8.0,5.0,-65.65,132.16,wilke (grounded),11/27/2020,40.0,2020.0
944,B42,13.0,4.0,-72.95,-126.62,amunw (grounded),11/27/2020,52.0,2020.0
945,B45,8.0,6.0,-74.69,-109.34,amune (grounded),11/27/2020,48.0,2020.0
946,B46,10.0,4.0,-73.23,-107.81,amune,11/27/2020,40.0,2020.0
947,B47,19.0,5.0,-73.79,-133.83,amunw (grounded),11/27/2020,95.0,2020.0
948,B50,15.0,6.0,-73.74,-133.34,amunw,11/27/2020,90.0,2020.0
949,C15,14.0,10.0,-65.99,143.3,wilke (grounded),11/27/2020,140.0,2020.0
950,C18B,20.0,4.0,-64.96,100.01,wilkw,11/27/2020,80.0,2020.0
951,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),11/27/2020,96.0,2020.0
952,C24,11.0,3.0,-64.84,96.02,wilkw (grounded),11/27/2020,33.0,2020.0
953,C29,5.0,5.0,-66.09,142.86,wilke (grounded),11/27/2020,25.0,2020.0
954,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),11/27/2020,27.0,2020.0
955,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),11/27/2020,27.0,2020.0
956,C33,8.0,4.0,-65.38,129.64,wilke,11/27/2020,32.0,2020.0
957,C35,7.0,5.0,-68.23,148.15,wilke (grounded),11/27/2020,35.0,2020.0
958,C36,23.0,16.0,-68.1,147.85,wilke (grounded),11/27/2020,368.0,2020.0
959,D15A,51.0,24.0,-66.64,81.91,amere (grounded),11/27/2020,1224.0,2020.0
960,D15B,33.0,12.0,-66.99,81.57,amere (grounded),11/27/2020,396.0,2020.0
961,D20A,20.0,9.0,-68.65,36.26,amerw (grounded),11/27/2020,180.0,2020.0
962,D21B,11.0,4.0,-63.25,-38.92,belle,11/27/2020,44.0,2020.0
963,D23,8.0,6.0,-69.43,74.68,amere (grounded),11/27/2020,48.0,2020.0
964,D26,19.0,2.0,-69.4,29.32,wedde (grounded),11/27/2020,38.0,2020.0
965,D27,8.0,5.0,-67.63,79.04,amere,11/27/2020,40.0,2020.0
966,D28,29.0,19.0,-65.44,55.03,amerw,11/27/2020,551.0,2020.0
967,A23A,44.0,40.0,-75.79,-41.59,belle,12/04/2020,1760.0,2020.0
968,A63,11.0,3.0,-72.21,-50.31,belle,12/04/2020,33.0,2020.0
969,A64,16.0,11.0,-69.73,-60.99,belle (grounded),12/04/2020,176.0,2020.0
970,A68A,82.0,26.0,-56.23,-41.22,belle,12/04/2020,2132.0,2020.0
971,A68C,9.0,5.0,-51.8,-28.86,belle,12/04/2020,45.0,2020.0
972,A69A,10.0,9.0,-68.49,-60.84,belle,12/04/2020,90.0,2020.0
973,A69B,10.0,7.0,-68.03,-61.31,belle,12/04/2020,70.0,2020.0
974,B09B,27.0,9.0,-66.24,143.19,wilke,12/04/2020,243.0,2020.0
975,B09G,12.0,7.0,-67.96,41.68,amerw (grounded),12/04/2020,84.0,2020.0
976,B09I,12.0,6.0,-70.92,-38.91,belle,12/04/2020,72.0,2020.0
977,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),12/04/2020,44.0,2020.0
978,B22A,44.0,24.0,-73.94,-109.34,amune (grounded),12/04/2020,1056.0,2020.0
979,B28,10.0,7.0,-74.67,-108.77,amune (grounded),12/04/2020,70.0,2020.0
980,B29,11.0,5.0,-74.5,-108.92,amune (grounded),12/04/2020,55.0,2020.0
981,B37,8.0,3.0,-72.68,-111.46,amune,12/04/2020,24.0,2020.0
982,B38,6.0,4.0,-76.99,-155.03,rosse,12/04/2020,24.0,2020.0
983,B39,8.0,4.0,-65.66,55.54,amerw,12/04/2020,32.0,2020.0
984,B40,8.0,5.0,-65.65,132.16,wilke (grounded),12/04/2020,40.0,2020.0
985,B42,13.0,4.0,-72.93,-126.62,amunw (grounded),12/04/2020,52.0,2020.0
986,B45,8.0,6.0,-74.69,-109.34,amune (grounded),12/04/2020,48.0,2020.0
987,B46,10.0,4.0,-73.01,-108.01,amune,12/04/2020,40.0,2020.0
988,B47,19.0,5.0,-73.8,-133.84,amunw (grounded),12/04/2020,95.0,2020.0
989,B50,15.0,6.0,-73.71,-133.77,amunw,12/04/2020,90.0,2020.0
990,C15,14.0,10.0,-65.99,143.3,wilke (grounded),12/04/2020,140.0,2020.0
991,C18B,20.0,4.0,-64.77,99.92,wilkw,12/04/2020,80.0,2020.0
992,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),12/04/2020,96.0,2020.0
993,C24,11.0,3.0,-64.84,96.02,wilkw (grounded),12/04/2020,33.0,2020.0
994,C29,5.0,5.0,-66.09,142.86,wilke (grounded),12/04/2020,25.0,2020.0
995,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),12/04/2020,27.0,2020.0
996,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),12/04/2020,27.0,2020.0
997,C33,8.0,4.0,-65.38,129.75,wilke,12/04/2020,32.0,2020.0
998,C35,7.0,5.0,-68.23,148.15,wilke (grounded),12/04/2020,35.0,2020.0
999,C36,23.0,16.0,-68.1,147.85,wilke (grounded),12/04/2020,368.0,2020.0
1000,D15A,51.0,24.0,-66.64,81.91,amere (grounded),12/04/2020,1224.0,2020.0
1001,D15B,33.0,12.0,-66.99,81.57,amere (grounded),12/04/2020,396.0,2020.0
1002,D20A,20.0,9.0,-68.65,36.26,amerw (grounded),12/04/2020,180.0,2020.0
1003,D21B,11.0,4.0,-63.25,-38.92,belle,12/04/2020,44.0,2020.0
1004,D23,8.0,6.0,-69.43,74.66,amere (grounded),12/04/2020,48.0,2020.0
1005,D26,19.0,2.0,-69.4,29.32,wedde (grounded),12/04/2020,38.0,2020.0
1006,D27,8.0,5.0,-67.66,78.86,amere,12/04/2020,40.0,2020.0
1007,D28,29.0,19.0,-65.42,54.96,amerw,12/04/2020,551.0,2020.0
1008,A23A,44.0,40.0,-75.77,-41.32,belle,12/11/2020,1760.0,2020.0
1009,A63,11.0,3.0,-71.85,-51.62,belle,12/11/2020,33.0,2020.0
1010,A64,16.0,11.0,-69.73,-60.99,belle (grounded),12/11/2020,176.0,2020.0
1011,A68A,82.0,26.0,-55.02,-39.21,belle,12/11/2020,2132.0,2020.0
1012,A68C,9.0,5.0,-52.75,-27.86,belle,12/11/2020,45.0,2020.0
1013,A69A,10.0,9.0,-68.39,-60.61,belle,12/11/2020,90.0,2020.0
1014,A69B,10.0,7.0,-67.89,-61.29,belle,12/11/2020,70.0,2020.0
1015,B09B,27.0,9.0,-66.3,143.34,wilke,12/11/2020,243.0,2020.0
1016,B09G,12.0,7.0,-67.96,41.68,amerw (grounded),12/11/2020,84.0,2020.0
1017,B09I,12.0,6.0,-70.8,-39.98,belle,12/11/2020,72.0,2020.0
1018,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),12/11/2020,44.0,2020.0
1019,B22A,44.0,24.0,-73.94,-109.34,amune (grounded),12/11/2020,1056.0,2020.0
1020,B28,10.0,7.0,-74.67,-108.77,amune (grounded),12/11/2020,70.0,2020.0
1021,B29,11.0,5.0,-74.5,-108.92,amune (grounded),12/11/2020,55.0,2020.0
1022,B37,8.0,3.0,-72.7,-111.48,amune,12/11/2020,24.0,2020.0
1023,B38,6.0,4.0,-76.99,-155.03,rosse (grounded),12/11/2020,24.0,2020.0
1024,B39,8.0,4.0,-65.59,55.42,amerw,12/11/2020,32.0,2020.0
1025,B40,8.0,5.0,-65.6,132.24,wilke (grounded),12/11/2020,40.0,2020.0
1026,B42,13.0,4.0,-72.95,-126.58,amunw (grounded),12/11/2020,52.0,2020.0
1027,B45,8.0,6.0,-74.69,-109.34,amune (grounded),12/11/2020,48.0,2020.0
1028,B46,10.0,4.0,-72.9,-108.02,amune,12/11/2020,40.0,2020.0
1029,B47,19.0,5.0,-73.8,-133.84,amunw (grounded),12/11/2020,95.0,2020.0
1030,B50,15.0,6.0,-73.53,-133.91,amunw,12/11/2020,90.0,2020.0
1031,C15,14.0,10.0,-65.99,143.3,wilke (grounded),12/11/2020,140.0,2020.0
1032,C18B,20.0,4.0,-64.63,99.79,wilkw,12/11/2020,80.0,2020.0
1033,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),12/11/2020,96.0,2020.0
1034,C24,11.0,3.0,-64.84,96.02,wilkw (grounded),12/11/2020,33.0,2020.0
1035,C29,5.0,5.0,-66.17,143.15,wilke,12/11/2020,25.0,2020.0
1036,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),12/11/2020,27.0,2020.0
1037,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),12/11/2020,27.0,2020.0
1038,C33,8.0,4.0,-65.36,129.7,wilke,12/11/2020,32.0,2020.0
1039,C35,7.0,5.0,-68.23,148.15,wilke (grounded),12/11/2020,35.0,2020.0
1040,C36,23.0,16.0,-68.1,147.85,wilke (grounded),12/11/2020,368.0,2020.0
1041,D15A,51.0,24.0,-66.64,81.91,amere (grounded),12/11/2020,1224.0,2020.0
1042,D15B,33.0,12.0,-66.99,81.57,amere (grounded),12/11/2020,396.0,2020.0
1043,D20A,20.0,9.0,-68.65,36.26,amerw (grounded),12/11/2020,180.0,2020.0
1044,D21B,11.0,4.0,-61.89,-34.94,belle,12/11/2020,44.0,2020.0
1045,D23,8.0,6.0,-69.43,74.66,amere (grounded),12/11/2020,48.0,2020.0
1046,D26,19.0,2.0,-69.4,29.32,wedde (grounded),12/11/2020,38.0,2020.0
1047,D27,8.0,5.0,-67.66,78.86,amere,12/11/2020,40.0,2020.0
1048,D28,29.0,19.0,-65.39,54.86,amerw,12/11/2020,551.0,2020.0
1049,A23A,40.0,34.0,-75.88,-41.22,belle,12/18/2020,1360.0,2020.0
1050,A63,11.0,3.0,-71.77,-52.04,belle,12/18/2020,33.0,2020.0
1051,A64,16.0,9.0,-69.73,-60.99,belle (grounded),12/18/2020,144.0,2020.0
1052,A68A,73.0,24.0,-55.73,-37.23,belle,12/18/2020,1752.0,2020.0
1053,A68D,11.0,5.0,-55.09,-37.38,belle,12/18/2020,55.0,2020.0
1054,A69A,10.0,9.0,-68.23,-60.07,belle,12/18/2020,90.0,2020.0
1055,A69B,10.0,7.0,-67.89,-61.31,belle,12/18/2020,70.0,2020.0
1056,B09B,24.0,8.0,-66.26,143.38,wilke,12/18/2020,192.0,2020.0
1057,B09G,11.0,7.0,-67.96,41.68,amerw (grounded),12/18/2020,77.0,2020.0
1058,B09I,12.0,6.0,-70.69,-39.54,belle,12/18/2020,72.0,2020.0
1059,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),12/18/2020,44.0,2020.0
1060,B22A,38.0,24.0,-73.93,-109.36,amune (grounded),12/18/2020,912.0,2020.0
1061,B28,9.0,6.0,-74.67,-108.77,amune (grounded),12/18/2020,54.0,2020.0
1062,B29,11.0,5.0,-74.51,-108.91,amune (grounded),12/18/2020,55.0,2020.0
1063,B37,8.0,3.0,-72.69,-111.57,amune,12/18/2020,24.0,2020.0
1064,B38,6.0,4.0,-77.0,-155.03,rosse (grounded),12/18/2020,24.0,2020.0
1065,B39,8.0,4.0,-65.52,54.97,amerw,12/18/2020,32.0,2020.0
1066,B40,6.0,5.0,-65.6,132.25,wilke (grounded),12/18/2020,30.0,2020.0
1067,B42,12.0,4.0,-72.96,-126.55,amunw (grounded),12/18/2020,48.0,2020.0
1068,B45,7.0,6.0,-74.69,-109.34,amune (grounded),12/18/2020,42.0,2020.0
1069,B46,10.0,4.0,-72.75,-108.47,amune,12/18/2020,40.0,2020.0
1070,B47,12.0,5.0,-73.8,-133.84,amunw (grounded),12/18/2020,60.0,2020.0
1071,B50,15.0,6.0,-73.75,-135.35,amunw,12/18/2020,90.0,2020.0
1072,C15,12.0,8.0,-65.97,143.3,wilke,12/18/2020,96.0,2020.0
1073,C18B,19.0,4.0,-64.56,99.65,wilkw,12/18/2020,76.0,2020.0
1074,C21B,11.0,8.0,-64.99,95.86,wilkw (grounded),12/18/2020,88.0,2020.0
1075,C24,11.0,2.0,-64.84,96.02,wilkw (grounded),12/18/2020,22.0,2020.0
1076,C29,5.0,5.0,-66.15,143.13,wilke,12/18/2020,25.0,2020.0
1077,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),12/18/2020,27.0,2020.0
1078,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),12/18/2020,27.0,2020.0
1079,C33,8.0,4.0,-65.18,129.59,wilke,12/18/2020,32.0,2020.0
1080,C35,7.0,5.0,-68.23,148.15,wilke (grounded),12/18/2020,35.0,2020.0
1081,C36,22.0,15.0,-68.1,147.85,wilke (grounded),12/18/2020,330.0,2020.0
1082,D15A,51.0,24.0,-66.65,81.92,amere (grounded),12/18/2020,1224.0,2020.0
1083,D15B,33.0,12.0,-66.99,81.57,amere (grounded),12/18/2020,396.0,2020.0
1084,D20A,19.0,9.0,-68.65,36.26,amerw (grounded),12/18/2020,171.0,2020.0
1085,D21B,10.0,4.0,-61.76,-34.65,belle,12/18/2020,40.0,2020.0
1086,D23,8.0,6.0,-69.43,74.66,amere (grounded),12/18/2020,48.0,2020.0
1087,D26,19.0,2.0,-69.36,29.4,wedde (grounded),12/18/2020,38.0,2020.0
1088,D27,8.0,5.0,-67.68,78.77,amere,12/18/2020,40.0,2020.0
1089,D28,29.0,19.0,-65.35,54.72,amerw,12/18/2020,551.0,2020.0
1090,A23A,40.0,34.0,-75.88,-41.31,belle,12/25/2020,1360.0,2020.0
1091,A63,11.0,3.0,-71.75,-52.96,belle,12/25/2020,33.0,2020.0
1092,A64,13.0,9.0,-69.53,-60.85,belle (grounded),12/25/2020,117.0,2020.0
1093,A68A,40.0,24.0,-56.57,-36.58,belle,12/25/2020,960.0,2020.0
1094,A68D,11.0,5.0,-55.49,-36.88,belle,12/25/2020,55.0,2020.0
1095,A68E,33.0,8.0,-57.11,-35.94,belle,12/25/2020,264.0,2020.0
1096,A68F,14.0,7.0,-56.93,-36.59,belle,12/25/2020,98.0,2020.0
1097,A69A,10.0,9.0,-68.28,-60.22,belle,12/25/2020,90.0,2020.0
1098,A69B,10.0,7.0,-67.78,-61.24,belle,12/25/2020,70.0,2020.0
1099,B09B,24.0,8.0,-66.27,143.34,wilke,12/25/2020,192.0,2020.0
1100,B09G,11.0,7.0,-67.96,41.68,amerw (grounded),12/25/2020,77.0,2020.0
1101,B09I,12.0,6.0,-70.67,-39.82,belle,12/25/2020,72.0,2020.0
1102,B15AB,11.0,4.0,-66.03,51.06,amerw (grounded),12/25/2020,44.0,2020.0
1103,B22A,38.0,24.0,-73.93,-109.36,amune (grounded),12/25/2020,912.0,2020.0
1104,B28,9.0,6.0,-74.67,-108.77,amune (grounded),12/25/2020,54.0,2020.0
1105,B29,11.0,5.0,-74.51,-108.92,amune (grounded),12/25/2020,55.0,2020.0
1106,B37,8.0,3.0,-72.69,-111.59,amune,12/25/2020,24.0,2020.0
1107,B38,6.0,4.0,-77.0,-155.03,rosse (grounded),12/25/2020,24.0,2020.0
1108,B39,8.0,4.0,-65.47,54.92,amerw,12/25/2020,32.0,2020.0
1109,B40,6.0,5.0,-65.59,132.23,wilke (grounded),12/25/2020,30.0,2020.0
1110,B42,12.0,4.0,-72.98,-126.61,amunw (grounded),12/25/2020,48.0,2020.0
1111,B45,7.0,6.0,-74.69,-109.35,amune (grounded),12/25/2020,42.0,2020.0
1112,B46,10.0,4.0,-72.73,-108.8,amune,12/25/2020,40.0,2020.0
1113,B47,12.0,5.0,-73.8,-133.84,amunw (grounded),12/25/2020,60.0,2020.0
1114,B50,15.0,6.0,-74.03,-137.41,amunw,12/25/2020,90.0,2020.0
1115,C15,12.0,8.0,-65.97,143.3,wilke,12/25/2020,96.0,2020.0
1116,C18B,19.0,4.0,-64.39,99.53,wilkw,12/25/2020,76.0,2020.0
1117,C21B,11.0,8.0,-64.99,95.86,wilkw (grounded),12/25/2020,88.0,2020.0
1118,C24,11.0,2.0,-64.84,96.02,wilkw (grounded),12/25/2020,22.0,2020.0
1119,C29,5.0,5.0,-66.12,142.95,wilke,12/25/2020,25.0,2020.0
1120,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),12/25/2020,27.0,2020.0
1121,C31,9.0,3.0,-64.69,96.51,wilkw (grounded),12/25/2020,27.0,2020.0
1122,C33,8.0,4.0,-65.15,129.56,wilke,12/25/2020,32.0,2020.0
1123,C35,7.0,5.0,-68.23,148.15,wilke (grounded),12/25/2020,35.0,2020.0
1124,C36,22.0,15.0,-68.1,147.85,wilke (grounded),12/25/2020,330.0,2020.0
1125,D15A,51.0,24.0,-66.64,81.91,amere (grounded),12/25/2020,1224.0,2020.0
1126,D15B,33.0,12.0,-66.99,81.57,amere (grounded),12/25/2020,396.0,2020.0
1127,D20A,19.0,9.0,-68.65,36.26,amerw (grounded),12/25/2020,171.0,2020.0
1128,D21B,10.0,4.0,-61.72,-34.67,belle,12/25/2020,40.0,2020.0
1129,D23,8.0,6.0,-69.43,74.66,amere (grounded),12/25/2020,48.0,2020.0
1130,D26,19.0,2.0,-69.4,29.32,wedde (grounded),12/25/2020,38.0,2020.0
1131,D27,8.0,5.0,-67.73,78.58,amere,12/25/2020,40.0,2020.0
1132,D28,29.0,19.0,-65.32,54.57,amerw,12/25/2020,551.0,2020.0
1133,A23A,40.0,34.0,-75.87,-41.24,belle,12/31/2020,1360.0,2020.0
1134,A63,11.0,3.0,-71.78,-53.35,belle,12/31/2020,33.0,2020.0
1135,A64,13.0,9.0,-69.6,-60.82,belle (grounded),12/31/2020,117.0,2020.0
1136,A68A,40.0,24.0,-56.95,-34.58,belle,12/31/2020,960.0,2020.0
1137,A68D,11.0,5.0,-55.52,-36.38,belle,12/31/2020,55.0,2020.0
1138,A68E,33.0,8.0,-56.46,-35.35,belle,12/31/2020,264.0,2020.0
1139,A68F,14.0,7.0,-56.49,-35.0,belle,12/31/2020,98.0,2020.0
1140,A69A,10.0,9.0,-68.19,-60.46,belle,12/31/2020,90.0,2020.0
1141,A69B,10.0,7.0,-67.73,-61.24,belle,12/31/2020,70.0,2020.0
1142,B09B,24.0,8.0,-66.27,143.29,wilke,12/31/2020,192.0,2020.0
1143,B09G,11.0,7.0,-67.96,41.68,amerw (grounded),12/31/2020,77.0,2020.0
