Entity,Code,Deaths
Central Latin America,,38.07513909
Central Sub-Saharan Africa,,131.5987868
East Asia,,72.82414057
Eastern Europe,,47.54567794
Eastern Sub-Saharan Africa,,105.1951351
England,,17.88095104
High SDI,,17.98873288
High-income,,16.63959643
High-income Asia Pacific,,13.096471
High-middle SDI,,54.03831319
Latin America and Caribbean,,35.29692722
Low SDI,,147.3158352
Low-middle SDI,,106.8536623
Middle SDI,,68.01393322
North Africa and Middle East,,66.20788699
North America,,17.94069374
Northern Ireland,,16.83439317
Oceania,,195.8684592
Scotland,,16.50679758
South Asia,,128.8032175
Southeast Asia,,66.89490628
"Southeast Asia, East Asia, and Oceania",,72.56410761
Southern Latin America,,28.39385664
Southern Sub-Saharan Africa,,69.84809263
Sub-Saharan Africa,,102.7262742
Tropical Latin America,,30.58040702
Wales,,18.5972317
Western Europe,,16.55536413
Western Sub-Saharan Africa,,103.2415957
