Dominica,DMA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.49315376
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.02965344
Dominican Republic,DOM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.72632115
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",38.8840107
East Asia & Pacific (excluding high income),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",42.58723899
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.36830737
East Asia & Pacific,EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",39.80278724
Europe & Central Asia (excluding high income),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.94064033
Europe & Central Asia,ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.08347489
Ecuador,ECU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.88610066
"Egypt, Arab Rep.",EGY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",86.99945205
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.52500117
Eritrea,ERI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",48.03019868
Spain,ESP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.697927863
Estonia,EST,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",6.732124015
Ethiopia,ETH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",38.97873776
European Union,EUU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.46590686
Fragile and conflict affected situations,FCS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",48.96253951
Finland,FIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.861331001
Fiji,FJI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.8401599
France,FRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.81496362
Faroe Islands,FRO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
"Micronesia, Fed. Sts.",FSM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.28339944
Gabon,GAB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",44.38554846
United Kingdom,GBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.47269039
Georgia,GEO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.19605462
Ghana,GHA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",34.7135141
Gibraltar,GIB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
Guinea,GIN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.0624902
"Gambia, The",GMB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.98263855
Guinea-Bissau,GNB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.77470228
Equatorial Guinea,GNQ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",53.24062104
