Iceberg,Length,Width,Latitude,Longitude,Remarks,Last_update,Area
A23A,44,40,-75.79,-41.06,belle (grounded),8/16/2019,1760
A63,11,3,-76.29,-46.76,belle (grounded),8/16/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),8/16/2019,176
A68A,82,26,-65.22,-57.98,belle,8/16/2019,2132
A68B,7,3,-64.63,-58.73,belle,8/16/2019,21
B09B,27,9,-66.26,143.34,wilke,8/16/2019,243
B09G,12,7,-67.96,41.71,amerw,8/16/2019,84
B09I,12,6,-64.74,60.97,amere,8/16/2019,72
B15AA,11,6,-60.6,-37.74,belle,8/16/2019,66
B15AB,11,4,-66.01,51.13,amerw (grounded),8/16/2019,44
B16,16,6,-58.71,-41.65,belle,8/16/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),8/16/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),8/16/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),8/16/2019,55
B37,8,3,-73.09,-109.03,amune,8/16/2019,24
B38,6,4,-76.99,-155.08,rosse,8/16/2019,24
B39,8,4,-65.16,91.48,wilkw,8/16/2019,32
B40,8,5,-65.64,132.19,wilke (grounded),8/16/2019,40
B42,13,5,-73.03,-125.65,amunw (grounded),8/16/2019,65
B43,10,5,-75.27,-166.43,rosse,8/16/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),8/16/2019,48
B46,10,4,-74.33,-104.97,amune,8/16/2019,40
C15,14,10,-66.08,143.41,wilke (grounded),8/16/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),8/16/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),8/16/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),8/16/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),8/16/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),8/16/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),8/16/2019,27
C33,8,4,-66.38,144.37,wilke,8/16/2019,32
C34,11,5,-64.87,136.74,wilke,8/16/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),8/16/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),8/16/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),8/16/2019,1224
D15B,33,12,-66.99,81.57,amere (grounded),8/16/2019,396
D20A,20,9,-68.9,36.35,amerw (grounded),8/16/2019,180
D21B,11,4,-77.51,-38.41,belle,8/16/2019,44
D22,11,2,-66.56,78.84,amere,8/16/2019,22
D23,8,6,-69.43,74.67,amere (grounded),8/16/2019,48
D26,19,2,-69.41,29.33,wedde (grounded),8/16/2019,38
D27,8,5,-67.27,81.87,amere (grounded),8/16/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),8/23/2019,1760
A63,11,3,-76.29,-46.76,belle (grounded),8/23/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),8/23/2019,176
A68A,82,26,-65.16,-57.92,belle,8/23/2019,2132
A68B,7,3,-64.63,-58.74,belle,8/23/2019,21
B09B,27,9,-66.26,143.34,wilke,8/23/2019,243
B09G,12,7,-67.96,41.71,amerw,8/23/2019,84
B09I,12,6,-64.57,60.55,amere,8/23/2019,72
B15AA,11,6,-60.16,-38.04,belle,8/23/2019,66
B15AB,11,4,-66.01,51.13,amerw (grounded),8/23/2019,44
B16,16,6,-58.27,-40.25,belle,8/23/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),8/23/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),8/23/2019,70
B29,11,5,-74.53,-108.91,amune (grounded),8/23/2019,55
B37,8,3,-73.15,-108.94,amune,8/23/2019,24
B38,6,4,-76.99,-155.08,rosse,8/23/2019,24
B39,8,4,-65.54,88.74,amere,8/23/2019,32
B40,8,5,-65.64,132.19,wilke (grounded),8/23/2019,40
B42,13,5,-73.03,-125.65,amunw (grounded),8/23/2019,65
B43,10,5,-75.26,-167.54,rosse,8/23/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),8/23/2019,48
B46,10,4,-74.33,-104.97,amune,8/23/2019,40
C15,14,10,-66.08,143.41,wilke (grounded),8/23/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),8/23/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),8/23/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),8/23/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),8/23/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),8/23/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),8/23/2019,27
C33,8,4,-66.38,144.37,wilke,8/23/2019,32
C34,11,5,-64.78,134.78,wilke,8/23/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),8/23/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),8/23/2019,368
D15A,51,24,-66.65,81.92,amere (grounded),8/23/2019,1224
D15B,33,12,-66.99,81.57,amere (grounded),8/23/2019,396
D20A,20,9,-68.89,36.31,amerw,8/23/2019,180
D21B,11,4,-76.93,-38.93,belle,8/23/2019,44
D22,11,2,-66.77,77.89,amere,8/23/2019,22
D23,8,6,-69.43,74.67,amere (grounded),8/23/2019,48
D26,19,2,-69.37,29.41,wedde (grounded),8/23/2019,38
D27,8,5,-67.27,81.87,amere (grounded),8/23/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),8/30/2019,1760
A63,11,3,-76.29,-46.76,belle (grounded),8/30/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),8/30/2019,176
A68A,82,26,-65.15,-57.92,belle,8/30/2019,2132
A68B,7,3,-64.63,-58.75,belle,8/30/2019,21
B09B,27,9,-66.26,143.34,wilke,8/30/2019,243
B09G,12,7,-67.96,41.71,amerw,8/30/2019,84
B09I,12,6,-64.64,60.58,amere,8/30/2019,72
B15AA,11,6,-59.85,-37.39,belle,8/30/2019,66
B15AB,11,4,-66.01,51.13,amerw (grounded),8/30/2019,44
B16,16,6,-57.74,-38.54,belle,8/30/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),8/30/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),8/30/2019,70
B29,11,5,-74.53,-108.91,amune (grounded),8/30/2019,55
B37,8,3,-73.12,-108.97,amune,8/30/2019,24
B38,6,4,-76.99,-155.08,rosse,8/30/2019,24
B39,8,4,-65.5,87.17,amere,8/30/2019,32
B40,8,5,-65.64,132.19,wilke (grounded),8/30/2019,40
B42,13,4,-73.04,-125.73,amunw (grounded),8/30/2019,52
B43,10,5,-75.42,-168.38,rosse,8/30/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),8/30/2019,48
B46,10,4,-74.33,-104.97,amune,8/30/2019,40
C15,14,10,-66.08,143.41,wilke (grounded),8/30/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),8/30/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),8/30/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),8/30/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),8/30/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),8/30/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),8/30/2019,27
C33,8,4,-66.38,144.37,wilke,8/30/2019,32
C34,11,5,-64.6,134.05,wilke,8/30/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),8/30/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),8/30/2019,368
D15A,51,24,-66.65,81.92,amere (grounded),8/30/2019,1224
D15B,33,12,-66.99,81.57,amere (grounded),8/30/2019,396
D20A,20,9,-68.89,36.31,amerw,8/30/2019,180
D21B,11,4,-76.44,-38.84,belle,8/30/2019,44
D22,11,2,-66.77,77.89,amere,8/30/2019,22
D23,8,6,-69.43,74.67,amere (grounded),8/30/2019,48
D26,19,2,-69.37,29.41,wedde (grounded),8/30/2019,38
D27,8,5,-67.27,81.87,amere (grounded),8/30/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),09/06/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),09/06/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),09/06/2019,176
A68A,82,26,-65.09,-57.85,belle,09/06/2019,2132
A68B,7,3,-64.64,-58.72,belle,09/06/2019,21
B09B,27,9,-66.26,143.34,wilke,09/06/2019,243
B09G,12,7,-67.96,41.71,amerw,09/06/2019,84
B09I,12,6,-65.1,59.02,amerw,09/06/2019,72
B15AA,11,6,-60,-37.68,belle,09/06/2019,66
B15AB,11,4,-66.01,51.13,amerw (grounded),09/06/2019,44
B16,16,6,-56.42,-38.79,belle,09/06/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),09/06/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),09/06/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),09/06/2019,55
B37,8,3,-73.22,-108.72,amune,09/06/2019,24
B38,6,4,-76.99,-155.08,rosse,09/06/2019,24
B39,8,4,-65.75,85.4,amere,09/06/2019,32
B40,8,5,-65.64,132.19,wilke (grounded),09/06/2019,40
B42,13,4,-73.04,-125.73,amunw (grounded),09/06/2019,52
B43,10,5,-75.24,-168.86,rosse,09/06/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),09/06/2019,48
B46,10,4,-74.38,-104.81,amune,09/06/2019,40
C15,14,10,-66.08,143.41,wilke (grounded),09/06/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),09/06/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),09/06/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),09/06/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),09/06/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),09/06/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),09/06/2019,27
C33,8,4,-66.38,144.37,wilke,09/06/2019,32
C34,11,5,-64.52,133.64,wilke,09/06/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),09/06/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),09/06/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),09/06/2019,1224
D15B,33,12,-66.99,81.57,amere (grounded),09/06/2019,396
D20A,20,9,-68.89,36.31,amerw,09/06/2019,180
D21B,11,4,-75.86,-38.86,belle,09/06/2019,44
D22,11,2,-66.76,77.84,amere,09/06/2019,22
D23,8,6,-69.43,74.67,amere (grounded),09/06/2019,48
D26,19,2,-69.41,29.33,wedde (grounded),09/06/2019,38
D27,8,5,-67.27,81.87,amere (grounded),09/06/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),9/13/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),9/13/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),9/13/2019,176
A68A,82,26,-65.04,-57.66,belle,9/13/2019,2132
A68B,7,3,-64.62,-58.74,belle,9/13/2019,21
B09B,27,9,-66.26,143.34,wilke,9/13/2019,243
B09G,12,7,-67.96,41.71,amerw,9/13/2019,84
B09I,12,6,-64.94,58.33,amerw,9/13/2019,72
B15AA,11,6,-59.65,-36.36,belle,9/13/2019,66
B15AB,11,4,-66.01,51.13,amerw (grounded),9/13/2019,44
B16,16,6,-55.88,-38.21,belle,9/13/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),9/13/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),9/13/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),9/13/2019,55
B37,8,3,-73.18,-108.78,amune,9/13/2019,24
B38,6,4,-76.99,-155.08,rosse,9/13/2019,24
B39,8,4,-65.66,83.32,amere,9/13/2019,32
B40,8,5,-65.65,132.03,wilke (grounded),9/13/2019,40
B42,13,4,-73.04,-125.73,amunw (grounded),9/13/2019,52
B43,10,5,-74.88,-169.66,rosse,9/13/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),9/13/2019,48
B46,10,4,-74.38,-104.81,amune,9/13/2019,40
C15,14,10,-66.08,143.41,wilke (grounded),9/13/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),9/13/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),9/13/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),9/13/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),9/13/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),9/13/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),9/13/2019,27
C33,8,4,-66.38,144.37,wilke,9/13/2019,32
C34,11,5,-64.36,133.43,wilke,9/13/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),9/13/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),9/13/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),9/13/2019,1224
D15B,33,12,-66.99,81.57,amere (grounded),9/13/2019,396
D20A,20,9,-68.89,36.31,amerw,9/13/2019,180
D21B,11,4,-76.23,-40.25,belle,9/13/2019,44
D22,11,2,-66.78,77.71,amere,9/13/2019,22
D23,8,6,-69.43,74.67,amere (grounded),9/13/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),9/13/2019,38
D27,8,5,-67.27,81.87,amere (grounded),9/13/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),9/20/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),9/20/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),9/20/2019,176
A68A,82,26,-65.02,-57.64,belle,9/20/2019,2132
A68B,7,3,-64.61,-58.73,belle,9/20/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),9/20/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),9/20/2019,84
B09I,12,6,-64.87,57.29,amerw,9/20/2019,72
B15AA,11,6,-59.4,-36.27,belle,9/20/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),9/20/2019,44
B16,16,6,-55.94,-37.67,belle,9/20/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),9/20/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),9/20/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),9/20/2019,55
B37,8,3,-73.23,-108.88,amune,9/20/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),9/20/2019,24
B39,8,4,-65.65,82.7,amere,9/20/2019,32
B40,8,5,-65.65,132.17,wilke,9/20/2019,40
B42,13,4,-73.03,-125.7,amunw (grounded),9/20/2019,52
B43,10,5,-74.68,-169.85,rosse,9/20/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),9/20/2019,48
B46,10,4,-74.37,-104.9,amune,9/20/2019,40
B47,19,5,-74.27,-130.28,amunw,9/20/2019,95
C15,14,10,-66.08,143.41,wilke (grounded),9/20/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),9/20/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),9/20/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),9/20/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),9/20/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),9/20/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),9/20/2019,27
C33,8,4,-66.38,144.37,wilke (grounded),9/20/2019,32
C34,11,5,-64.45,131.83,wilke,9/20/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),9/20/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),9/20/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),9/20/2019,1224
D15B,33,12,-66.99,81.56,amere (grounded),9/20/2019,396
D20A,20,9,-68.83,36.28,amerw,9/20/2019,180
D21B,11,4,-76.24,-40.48,belle,9/20/2019,44
D22,11,2,-66.8,77.59,amere,9/20/2019,22
D23,8,6,-69.43,74.67,amere (grounded),9/20/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),9/20/2019,38
D27,8,5,-67.27,81.87,amere (grounded),9/20/2019,40
A23A,44,40,-75.79,-41.06,belle (grounded),9/27/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),9/27/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),9/27/2019,176
A68A,82,26,-64.93,-57.39,belle,9/27/2019,2132
A68B,7,3,-64.62,-58.75,belle,9/27/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),9/27/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),9/27/2019,84
B09I,12,6,-64.7,56.55,amerw,9/27/2019,72
B15AA,11,6,-59.31,-36.2,belle,9/27/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),9/27/2019,44
B16,16,6,-57.04,-35.82,belle,9/27/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),9/27/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),9/27/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),9/27/2019,55
B37,8,3,-73.22,-108.91,amune,9/27/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),9/27/2019,24
B39,8,4,-65.72,81.21,amere,9/27/2019,32
B40,8,5,-65.64,132.19,wilke,9/27/2019,40
B42,13,4,-73.04,-125.72,amunw (grounded),9/27/2019,52
B43,10,5,-74.18,-171.04,rosse,9/27/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),9/27/2019,48
B46,10,4,-74.35,-104.96,amune,9/27/2019,40
B47,19,5,-74.25,-130.43,amunw,9/27/2019,95
C15,14,10,-66.08,143.41,wilke (grounded),9/27/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),9/27/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),9/27/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),9/27/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),9/27/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),9/27/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),9/27/2019,27
C33,8,4,-66.38,144.37,wilke (grounded),9/27/2019,32
C34,11,5,-64.42,131.66,wilke,9/27/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),9/27/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),9/27/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),9/27/2019,1224
D15B,33,12,-66.99,81.56,amere (grounded),9/27/2019,396
D20A,20,9,-68.82,36.27,amerw,9/27/2019,180
D21B,11,4,-76.24,-40.49,belle,9/27/2019,44
D22,11,2,-66.81,77.59,amere,9/27/2019,22
D23,8,6,-69.43,74.67,amere (grounded),9/27/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),9/27/2019,38
D28,29,19,-68.55,72.21,amere,9/27/2019,551
A23A,44,40,-75.79,-41.06,belle (grounded),10/04/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),10/04/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),10/04/2019,176
A68A,82,26,-64.9,-57.41,belle,10/04/2019,2132
A68B,7,3,-64.63,-58.8,belle,10/04/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),10/04/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),10/04/2019,84
B09I,12,6,-64.98,54.6,amerw,10/04/2019,72
B15AA,11,6,-58.89,-36.18,belle,10/04/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),10/04/2019,44
B16,16,6,-57.56,-33.99,belle,10/04/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),10/04/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),10/04/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),10/04/2019,55
B37,8,3,-73.22,-108.81,amune,10/04/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),10/04/2019,24
B39,8,4,-65.82,80.79,amere,10/04/2019,32
B40,8,5,-65.64,132.18,wilke (grounded),10/04/2019,40
B42,13,4,-73.04,-125.72,amunw (grounded),10/04/2019,52
B43,10,5,-74.05,-171.32,rossc,10/04/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),10/04/2019,48
B46,10,4,-74.36,-104.94,amune,10/04/2019,40
B47,19,5,-74.22,-130.39,amunw,10/04/2019,95
C15,14,10,-66.08,143.41,wilke (grounded),10/04/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),10/04/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),10/04/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),10/04/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),10/04/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),10/04/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),10/04/2019,27
C33,8,4,-66.38,144.37,wilke (grounded),10/04/2019,32
C34,11,5,-64.55,130.62,wilke,10/04/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),10/04/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),10/04/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),10/04/2019,1224
D15B,33,12,-66.99,81.56,amere (grounded),10/04/2019,396
D20A,20,9,-68.83,36.28,amerw,10/04/2019,180
D21B,11,4,-75.94,-39.69,belle,10/04/2019,44
D22,11,2,-66.76,77.73,amere,10/04/2019,22
D23,8,6,-69.43,74.67,amere (grounded),10/04/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),10/04/2019,38
D28,29,19,-68.41,71.9,amere,10/04/2019,551
A23A,44,40,-75.79,-41.06,belle (grounded),10/10/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),10/10/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),10/10/2019,176
A68A,82,26,-64.92,-57.43,belle,10/10/2019,2132
A68B,7,3,-64.62,-58.76,belle,10/10/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),10/10/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),10/10/2019,84
B09I,12,6,-65.12,54.02,amerw,10/10/2019,72
B15AA,11,6,-58.66,-36.57,belle,10/10/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),10/10/2019,44
B16,16,6,-57.58,-31.72,belle,10/10/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),10/10/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),10/10/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),10/10/2019,55
B37,8,3,-73.06,-108.59,amune,10/10/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),10/10/2019,24
B39,8,4,-65.87,80.48,amere,10/10/2019,32
B40,8,5,-65.64,132.18,wilke (grounded),10/10/2019,40
B42,13,4,-73.04,-125.72,amunw (grounded),10/10/2019,52
B43,10,5,-73.81,-171.83,rossc,10/10/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),10/10/2019,48
B46,10,4,-74.34,-105.06,amune,10/10/2019,40
B47,19,5,-74.18,-130.03,amunw,10/10/2019,95
C15,14,10,-66.08,143.41,wilke (grounded),10/10/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),10/10/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),10/10/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),10/10/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),10/10/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),10/10/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),10/10/2019,27
C33,8,4,-66.38,144.37,wilke (grounded),10/10/2019,32
C34,11,5,-64.65,130.11,wilke,10/10/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),10/10/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),10/10/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),10/10/2019,1224
D15B,33,12,-66.99,81.56,amere (grounded),10/10/2019,396
D20A,20,9,-68.83,36.28,amerw,10/10/2019,180
D21B,11,4,-75.78,-39.15,belle,10/10/2019,44
D22,11,2,-66.68,77.44,amere,10/10/2019,22
D23,8,6,-69.43,74.67,amere (grounded),10/10/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),10/10/2019,38
D27,8,5,-67.27,81.87,amere (grounded),10/10/2019,40
D28,29,19,-68.34,71.43,amere,10/10/2019,551
A23A,44,40,-75.79,-41.06,belle (grounded),10/18/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),10/18/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),10/18/2019,176
A68A,82,26,-64.9,-57.38,belle,10/18/2019,2132
A68B,7,3,-64.64,-58.79,belle,10/18/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),10/18/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),10/18/2019,84
B09I,12,6,-65.65,52.89,amerw,10/18/2019,72
B15AA,11,6,-58.41,-36.86,belle,10/18/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),10/18/2019,44
B16,16,6,-57.37,-30.94,belle,10/18/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),10/18/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),10/18/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),10/18/2019,55
B37,8,3,-73.12,-109.01,amune,10/18/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),10/18/2019,24
B39,8,4,-65.51,80.55,amere,10/18/2019,32
B40,8,5,-65.64,132.18,wilke (grounded),10/18/2019,40
B42,13,4,-73.05,-125.73,amunw (grounded),10/18/2019,52
B43,10,5,-73.26,-171.56,rossc,10/18/2019,50
B45,8,6,-74.7,-109.37,amune (grounded),10/18/2019,48
B46,10,4,-74.35,-105.34,amune,10/18/2019,40
B47,19,5,-74.26,-130.96,amunw,10/18/2019,95
C15,14,10,-66.08,143.41,wilke (grounded),10/18/2019,140
C18B,20,4,-65.46,113.87,wilkw (grounded),10/18/2019,80
C21B,12,8,-64.99,95.86,wilkw (grounded),10/18/2019,96
C24,11,3,-64.84,96.03,wilkw (grounded),10/18/2019,33
C29,5,5,-66.1,142.84,wilke (grounded),10/18/2019,25
C30,9,3,-64.78,96.3,wilkw (grounded),10/18/2019,27
C31,9,3,-64.69,96.52,wilkw (grounded),10/18/2019,27
C33,8,4,-66.38,144.37,wilke (grounded),10/18/2019,32
C34,11,5,-64.66,128.34,wilke,10/18/2019,55
C35,12,5,-68.24,148.21,wilke (grounded),10/18/2019,60
C36,23,16,-68.11,147.84,wilke (grounded),10/18/2019,368
D15A,51,24,-66.64,81.91,amere (grounded),10/18/2019,1224
D15B,33,12,-66.99,81.56,amere (grounded),10/18/2019,396
D20A,20,9,-68.83,36.28,amerw,10/18/2019,180
D21B,11,4,-75.38,-37.61,belle,10/18/2019,44
D22,11,2,-66.4,77.48,amere,10/18/2019,22
D23,8,6,-69.43,74.67,amere (grounded),10/18/2019,48
D26,19,2,-69.4,29.33,wedde (grounded),10/18/2019,38
D27,8,5,-67.27,81.87,amere (grounded),10/18/2019,40
D28,29,19,-68.32,70.99,amere,10/18/2019,551
A23A,44,40,-75.79,-41.06,belle (grounded),10/25/2019,1760
A63,11,3,-76.29,-46.74,belle (grounded),10/25/2019,33
A64,16,11,-69.73,-60.98,belle (grounded),10/25/2019,176
A68A,82,26,-64.93,-57.3,belle,10/25/2019,2132
A68B,7,3,-64.68,-58.79,belle,10/25/2019,21
B09B,27,9,-66.26,143.34,wilke (grounded),10/25/2019,243
B09G,12,7,-67.96,41.71,amerw (grounded),10/25/2019,84
B09I,12,6,-65.63,52.88,amerw,10/25/2019,72
B15AA,11,6,-58.04,-36.54,belle,10/25/2019,66
B15AB,11,4,-66.01,51.12,amerw (grounded),10/25/2019,44
B16,16,6,-56.07,-31.2,belle,10/25/2019,96
B22A,44,24,-74.01,-109.21,amune (grounded),10/25/2019,1056
B28,10,7,-74.7,-108.79,amune (grounded),10/25/2019,70
B29,11,5,-74.53,-108.92,amune (grounded),10/25/2019,55
B37,8,3,-72.87,-109.38,amune,10/25/2019,24
B38,6,4,-76.99,-155.08,rosse (grounded),10/25/2019,24
B39,8,4,-65.94,80.21,amere,10/25/2019,32
B40,8,5,-65.64,132.18,wilke (grounded),10/25/2019,40
B42,13,4,-73.05,-125.73,amunw (grounded),10/25/2019,52
